"Step","Group: pbt - rollouts/epi_mean_reward","Group: pbt - rollouts/epi_mean_reward__MIN","Group: pbt - rollouts/epi_mean_reward__MAX"
"350400","54.623333333333335","40.01","66.58"
"352000","61.35","49.63","80.32"
"353600","51.08666666666667","21.37","73.29"
"355200","52.96000000000001","18.46","87.5"
"356800","73.27666666666666","69.6","79.39"
"358400","81.88","55.83","98.96"
"360000","64.46666666666667","14.84","100.97"
"361600","76.64","50.4","101.95"
"363200","29.266666666666662","8.54","63.26"
"364800","61.92333333333334","42.77","81.88"
"366400","45.873333333333335","5.85","85.57"
"368000","59.526666666666664","30.36","78.62"
"369600","50.53333333333334","10.51","74.08"
"371200","102.46","94.58","114.58"
"372800","66.22333333333334","6.47","106.03"
"374400","50.21333333333334","11.4","86.65"
"376000","66.62","50.65","83.28"
"377600","73.57666666666667","38.97","116.06"
"379200","31.97","12.42","41.75"
"380800","71.64333333333333","33.48","92.88"
"382400","72.23","56.99","90.68"
"384000","59.51333333333333","9.59","90.6"
"385600","74.38666666666667","56.35","101.84"
"387200","82.63999999999999","76.71","86.32"
"388800","80.17999999999999","77.1","85.37"
"390400","53.64666666666667","12.94","76.05"
"392000","77.10666666666667","68.4","88.52"
"393600","81.06","60.06","104.8"
"395200","83.59333333333333","70.69","95.59"
"396800","39.63333333333333","16.27","64.12"
"398400","80.25999999999999","77.29","82.6"
"400000","88.05","81.4","92.52"
"401600","68.65666666666667","35.92","103.52"
"403200","61.79333333333333","29.19","80.99"
"404800","80.63333333333334","60.81","105.81"
"406400","54.24333333333334","10.61","81.68"
"408000","75.98666666666666","68.53","80.13"
"409600","65.21999999999998","38.58","90.89"
"411200","80.75","74.97","87.96"
"412800","74.13333333333333","47.01","89.54"
"414400","58.836666666666666","41.21","72.12"
"416000","81.66666666666667","61.09","107.56"
"417600","52.06666666666666","14.76","71.35"
"419200","77.76666666666667","68.51","93.66"
"420800","56.123333333333335","7.75","89.59"
"422400","68.3","7.13","103.16"
"424000","72.00333333333333","55.12","82.4"
"425600","23.383333333333336","8.19","45.18"
"427200","25.99666666666667","7.57","57.51"
"428800","88.49000000000001","82.86","94"
"430400","92.07666666666667","79.19","109.17"
"432000","81.77999999999999","62.75","99.89"
"433600","83.86333333333333","66.47","96.93"
"435200","55.14000000000001","21.34","85.31"
"436800","83.10000000000001","79.09","90.76"
"438400","58.96","13.57","84.23"
"440000","74.27666666666666","67.26","79.11"
"441600","72.35666666666667","34.03","91.8"
"443200","62.163333333333334","17.78","106.09"
"444800","85.39","49.88","123.68"
"446400","97.36","79.96","112.64"
"448000","55.126666666666665","19.48","82.44"
"449600","82.72","44.48","102.11"
"451200","63.153333333333336","23.21","92"
"452800","66.71","63.84","68.42"
"454400","43.906666666666666","30.06","64.95"
"456000","81.50333333333333","66.15","105.42"
"457600","65.02666666666666","14.11","106.59"
"459200","36.57","15.67","75.16"
"460800","82.69666666666667","48.08","117.25"
"462400","80.79666666666667","78.81","83.63"
"464000","80.38","67.14","95.56"
"465600","79.82666666666667","74.51","83.12"
"467200","85.91000000000001","83.73","89.98"
"468800","73.58333333333333","42.01","94.39"
"470400","82.29666666666667","74.33","89.39"
"472000","72.74666666666668","58.77","95.43"
"473600","80.57666666666667","62.41","92.07"
"475200","62.44","56.55","68"
"476800","78.73333333333333","75.95","80.27"
"478400","65.13666666666667","28.65","92.69"
"480000","38.36","13.94","67.45"
